,feature_importance
Perovskite_deposition_solvents_mixing_ratios_1;_4,0.0007568397678858604
Perovskite_deposition_procedure_Ultrasonic_spray_Ultrasonic_spray,0.000755123090461741
Perovskite_deposition_thermal_annealing_time_40.0,0.0007492665873741718
Perovskite_deposition_quenching_media_Ethyl_acetate,0.0007485227313715573
Perovskite_deposition_thermal_annealing_temperature_110.0__1,0.000745850924960943
ETL_deposition_procedure_ALD__3,0.000744550131908741
avg_Number_of_unfilled_d_valence_electrons,0.0007425051217717068
ETL_deposition_procedure_Spin-coating__1,0.0007391134747550196
avg_Gordy_electonegativity,0.0007324590383708355
dev_thermal_conductivity_(W/(m_K)),0.0007287335470674734
dev_Boiling_Point_(K),0.0007285334366577213
Perovskite_additives_compounds_Undoped,0.0007151757071144185
Backcontact_stack_sequence_SLG,0.000705416415392293
avg_Density_(g/mL),0.0006924038199757927
Perovskite_additives_compounds_Unknown,0.0006916758530786064
Perovskite_deposition_thermal_annealing_temperature_Unknown_150,0.000689427487584068
Perovskite_deposition_solvents_mixing_ratios_1_1,0.0006869292253473816
avg_1st_ionization_potential_(kJ/mol),0.0006854391304780411
dev_1st_ionization_potential_(kJ/mol),0.0006842135854071836
Encapsulation_False,0.0006762422512296084
Perovskite_additives_concentrations_0.1__1,0.0006756695754409712
Cell_flexible_False,0.0006701777981473461
Perovskite_deposition_synthesis_atmosphere_Ar,0.0006688343204157369
ETL_deposition_procedure_Sputtering__2,0.0006568877169696331
Perovskite_deposition_thermal_annealing_temperature_120.0__1,0.000647643423298225
Cell_flexible_True,0.0006409382295923718
ETL_deposition_procedure_Unknown__2,0.0006334568317525716
Perovskite_deposition_thermal_annealing_time_30.0_30.0,0.000631280095269364
Perovskite_deposition_thermal_annealing_temperature_70.0,0.0006233137871002345
dev_Number_of_unfilled_d_valence_electrons,0.000622685541796839
Perovskite_band_gap_1.59,0.0006192125957435845
Backcontact_deposition_procedure_Evaporation,0.0006161066025158564
HTL_stack_sequence_CZTS,0.0006153146735181242
ETL_stack_sequence_C60__2,0.0006091077603215396
Backcontact_deposition_procedure_Lamination__1,0.0006008912624006392
Perovskite_deposition_thermal_annealing_temperature_Unknown_70.0,0.0005928155456692038
Perovskite_deposition_thermal_annealing_time_1.0,0.0005912987131007507
Perovskite_deposition_thermal_annealing_time_Unknown_30.0,0.000590479455318835
Perovskite_deposition_thermal_annealing_temperature_150.0__1,0.000586836351232508
Perovskite_band_gap_1.58,0.0005708168476506297
Encapsulation_True,0.0005694875186495536
Perovskite_deposition_solvents_mixing_ratios_7;_3,0.0005688711684163945
Perovskite_deposition_thermal_annealing_temperature_120.0_100.0,0.0005655104815138133
Perovskite_deposition_thermal_annealing_time_Unknown_20.0,0.0005626665795412561
ETL_stack_sequence_Al2O3-mp,0.0005556293226177907
ETL_stack_sequence_Corrannulene-derivative,0.0005496385625534944
HTL_stack_sequence_Graphene_oxide__2,0.0005475280626661581
Perovskite_deposition_thermal_annealing_temperature_70.0_100.0,0.0005468129087408354
HTL_additives_concentrations_23_uL(90.9mg/mLACN);_39_uL,0.0005420662842765089
Perovskite_deposition_aggregation_state_of_reactants_Liquid__1,0.0005383794406335246
ETL_stack_sequence_LiF,0.0005373146692980446
avg_Number_of_unfilled_f_valence_electrons,0.0005371784364522172
Perovskite_deposition_thermal_annealing_time_120.0__1,0.000534600760520891
ETL_deposition_solvents_Water,0.0005344799628413472
Perovskite_additives_concentrations_0.05,0.000532101680241566
dev_Atomic_Number,0.0005319593658763996
ETL_stack_sequence_ZnO-nw,0.0005290351771093117
Perovskite_deposition_solvent_annealing_True,0.0005269634203888592
Perovskite_additives_compounds_HI,0.0005242940794545994
HTL_deposition_procedure_Electropolymerization,0.0005171575151927727
Perovskite_additives_concentrations_0.01,0.0005156712194531812
Perovskite_deposition_solvents_DMSO_IPA,0.000510637749547929
Perovskite_deposition_synthesis_atmosphere_Dry_air,0.0005098600283492568
Perovskite_deposition_quenching_media_Anisole,0.0005083044534414464
Perovskite_deposition_number_of_deposition_steps_2.0,0.0005075344389297345
Perovskite_composition_b_ions_coefficients_1.0,0.0005071388328788218
Perovskite_deposition_synthesis_atmosphere_relative_humidity_35_35,0.0005054397216858197
dev_heat_of_fusion_(kJ/mol),0.0005051985090208175
Perovskite_band_gap_1.56,0.000502550558782674
HTL_additives_compounds_F4-TCNQ,0.0005000909975666057
Perovskite_deposition_procedure_Inkjet_printing,0.000499015996289022
Perovskite_band_gap_1.61,0.0004940615374205282
ETL_stack_sequence_SnO2-c__3,0.0004934464343070283
Backcontact_stack_sequence_Ag,0.0004895984413889975
Perovskite_composition_none_stoichiometry_components_in_excess_MA,0.0004891690296031457
Perovskite_deposition_solvent_annealing_False,0.0004889368134517372
avg_specific_heat_(J/g_K),0.0004888012577582586
dev_Period,0.00048799447578129365
Perovskite_deposition_thermal_annealing_temperature_130.0__1,0.0004854008492243877
Perovskite_deposition_thermal_annealing_temperature_70.0_70.0,0.0004811989631099683
Perovskite_deposition_solvents_mixing_ratios_1;_1,0.00047685631865507087
ETL_stack_sequence_TiO2-np__2,0.0004725934245703404
dev_Melting_point_(K),0.0004670872495117915
HTL_stack_sequence_MeO-TPD,0.00046677771642513534
Perovskite_deposition_number_of_deposition_steps_1.0,0.00045943575594142833
Perovskite_deposition_solvents_mixing_ratios_1000;_95,0.00045929140377846885
max_Zunger_radii_sum,0.00045860994339685213
Perovskite_deposition_quenching_media_Chloroform,0.0004569032020596359
Perovskite_band_gap_1.621,0.00045552949792627723
ETL_deposition_procedure_Sputtering__3,0.0004543804994601969
Backcontact_stack_sequence_Carbon__1,0.0004535927440395042
ETL_stack_sequence_MgO-c__2,0.00045239274108948863
Perovskite_deposition_synthesis_atmosphere_Dry_air_Dry_air,0.0004518114293340424
ETL_deposition_procedure_Evaporation__2,0.00045022765600550755
Perovskite_deposition_thermal_annealing_time_60.0;_30.0,0.000448335426558311
Perovskite_deposition_solvents_mixing_ratios_3;_1,0.00044791104804217056
Perovskite_additives_concentrations_0.66,0.0004465802752578762
HTL_additives_compounds_Li-TFSI,0.00044588293632109817
Perovskite_deposition_thermal_annealing_temperature_80.0,0.0004421335858888572
ETL_additives_compounds_TiCl4,0.0004414914855829939
Perovskite_deposition_procedure_Electrodeposition_CBD,0.00043881175872967164
Perovskite_deposition_thermal_annealing_time_50.0,0.0004373636545191981
Perovskite_deposition_thermal_annealing_temperature_70.0_90.0,0.00043335224802177425
Backcontact_stack_sequence_Cu__2,0.00043139229122271847
ETL_deposition_procedure_Hydrothermal,0.0004312459820481039
ETL_stack_sequence_ZnO-np__3,0.0004235461547476889
Perovskite_deposition_thermal_annealing_temperature_105.0,0.00042302432614100427
avg_Covalent_Radius,0.00042294340409329876
dev_Covalent_Radius,0.0004206338357960998
HTL_deposition_procedure_Evaporation,0.000417535189156739
avg_families,0.00041741669056082856
dev_Atomic_Radius,0.00041671253609791017
Perovskite_deposition_thermal_annealing_temperature_110.0_105.0,0.0004129598209107835
HTL_stack_sequence_YC03,0.0004126309272822923
Perovskite_deposition_thermal_annealing_temperature_75.0_75.0,0.0004106449973685322
Perovskite_deposition_solvents_mixing_ratios_1_4;_1,0.0004076906208837277
Perovskite_additives_concentrations_0.25,0.00040719863443517226
HTL_stack_sequence_TT1,0.0004044742500524362
ETL_deposition_thermal_annealing_temperature_500,0.0004031105704092117
Perovskite_deposition_thermal_annealing_time_1.0;_10.0,0.0004030092192882917
Perovskite_band_gap_1.63,0.00040266843473229564
avg_Atomic_Weight,0.0003968450499517863
Perovskite_deposition_quenching_media_N2,0.0003947663496472536
avg_polarizability(A^3),0.00039238289967611425
HTL_stack_sequence_NiO-np__1,0.00039177585517081927
Cell_architecture_Back_contacted,0.00039086266524252005
Perovskite_deposition_procedure_Slot-die_coating,0.00039025033685472464
ETL_stack_sequence_SnO2-np,0.00038964193020096983
Perovskite_composition_b_ions_coefficients_1,0.00038947651432372313
Perovskite_deposition_after_treatment_of_formed_perovskite_Intense_pulsed_light_annealing,0.00038906676670628774
avg_Number_of_unfilled_p_valence_electrons,0.00038903836866349846
Perovskite_pl_max_765.0,0.00038640454528869557
Perovskite_deposition_thermal_annealing_temperature_Unknown_160.0,0.000382621267038961
Perovskite_deposition_thermal_annealing_temperature_100.0_100.0,0.0003806397285767294
Perovskite_deposition_solvents_mixing_ratios_100;_13,0.000378654348822742
ETL_stack_sequence_TiO2-mp__2,0.00037676559686454443
Substrate_stack_sequence_PEN__3,0.00037675589012384913
ETL_stack_sequence_PEIE__3,0.0003749756127835319
Perovskite_deposition_thermal_annealing_time_Unknown_5.0,0.0003723533439225769
avg_ionic_radius,0.0003703977197232882
Perovskite_deposition_thermal_annealing_time_20.0_20.0,0.0003636847266854938
Perovskite_deposition_thermal_annealing_time_30.0_60.0,0.00036188994170914453
