y_train_real,y_train_pred
13.5,12.210742
17.2,13.967287
15.6,15.690962
4.05,5.745017
10.9,11.7609825
14.56,14.819321
15.22,9.925861
13.3,14.997889
17.2,16.851048
4.52,5.128733
18.1,12.35963
9.3,9.822861
15.6,16.037153
13.02,14.9454975
16.3,13.29809
13.41,13.232375
8.8,11.113442
18.05,16.391808
1.74,7.213464
16.62,14.483756
12.7,8.31931
19.95,17.215992
18.3,16.528387
12.37,9.453782
2.41,2.2346125
17.47,11.253529
4.7,5.247263
2.17,7.1489987
1.1,11.572474
13.69,12.743581
11.6,11.082933
15.3,15.519868
14.7,14.773986
13.6,14.323592
14.36,13.860079
12.86,13.742123
19.07,17.28186
11.03,12.1274805
9.2,10.088882
1.98,2.960656
19.64,18.070757
11.0,10.854261
15.1,13.711655
14.3,13.919738
17.15,12.272373
16.53,15.283912
20.02,17.265297
2.3,2.0648172
11.2,11.409799
14.5,11.296423
18.0,18.16744
5.61,6.3045554
15.77,16.082474
16.6,17.106344
9.78,7.6434608
7.2,10.598695
11.1,11.465525
4.6,11.733918
14.37,13.821217
17.49,16.268814
18.1,15.931899
10.4,9.710591
9.29,7.362275
13.27,15.306824
0.0,-0.06108469
10.41,9.85007
12.9,14.919043
14.47,13.434464
16.78,14.313464
15.5,15.961354
0.2,4.821188
13.93,15.082794
9.0,8.891692
15.67,13.98382
8.64,9.790283
14.72,13.576926
18.57,16.844316
17.8,17.136692
14.95,12.786837
7.93,11.103412
14.28,14.397201
2.05,1.7514472
10.9,11.791745
15.8,14.498565
8.23,6.91186
16.15,15.384836
13.5,12.150849
14.1,13.038121
19.3,16.294598
16.2,17.243408
14.6,15.706087
14.5,11.665511
18.79,18.72178
14.65,12.765622
7.4,7.5303264
16.3,15.527369
15.0,16.727451
2.94,6.0044775
16.35,15.403413
9.2,9.940931
13.8,11.159526
12.3,9.682114
12.0,12.187919
13.1,13.73839
3.12,6.257715
11.2,11.20392
11.07,5.600007
15.5,13.018077
10.1,11.705807
14.03,13.064289
7.61,7.8289127
0.0,1.0499548
13.1,11.893421
7.1,8.817411
9.56,9.5032425
14.7,11.306989
7.75,7.9603543
16.3,14.336764
1.21,3.915629
20.02,17.46902
18.11,15.159981
19.6,13.464009
9.6,10.090976
12.81,10.943001
20.72,18.467867
20.35,17.465073
13.6,11.501117
15.38,12.468363
18.71,16.599556
13.34,12.7491665
12.1,10.061101
14.8,10.371199
12.8,11.241599
19.83,18.49809
16.0,15.002035
16.4,15.591398
0.09,5.9643555
7.05,8.3854475
18.6,17.68997
11.15,12.831813
7.32,10.737838
5.2,4.821188
11.2,13.903889
15.6,11.684605
16.57,11.913994
15.28,14.410298
14.7,15.730325
17.9,17.12876
10.5,11.3351965
16.57,11.913994
12.2,11.45117
17.91,18.176489
17.06,13.358067
3.04,7.1489987
3.5,6.562789
12.76,12.9594555
15.5,14.818144
15.3,12.251272
9.38,9.873209
5.23,7.847425
13.0,11.630147
11.08,11.88618
17.18,17.606934
7.7,9.50515
11.16,9.5355625
15.51,15.470658
12.7,14.546694
15.33,15.082794
9.7,11.073076
16.4,15.496088
17.87,17.079454
18.09,16.995197
12.91,10.747537
4.87,7.8327394
12.8,11.921868
10.08,9.540041
13.1,11.073524
11.94,14.069313
13.3,12.355694
13.59,15.478975
18.6,15.023362
13.6,10.357756
7.52,10.328903
11.58,10.234396
11.6,12.368033
18.6,17.715223
16.0,14.853212
14.0,15.197491
17.4,14.740091
9.7,11.0279
4.92,9.388268
13.29,14.292121
11.23,11.44461
10.26,9.950561
6.7,6.955539
17.87,13.929555
4.9,8.821644
12.3,8.764434
14.03,13.599063
18.4,16.97066
16.09,10.119664
3.0,3.097663
17.66,13.802803
15.75,12.818161
14.83,11.124532
18.9,12.659528
9.0,10.495528
12.59,10.942611
16.61,15.284338
9.1,10.125845
13.8,12.703023
11.7,11.457723
13.2,12.118944
19.13,18.246374
11.0,12.255068
18.97,16.379526
1.25,2.1521683
16.34,14.657711
6.75,8.886507
14.4,14.75154
15.32,16.004072
7.13,8.849334
16.4,14.003951
3.78,2.8527372
10.15,12.7516775
0.032,9.270912
5.12,4.7331896
15.42,16.049492
14.55,14.478575
15.0,15.188508
6.51,7.750328
5.13,7.54351
15.75,12.664027
15.22,13.81981
15.96,12.043787
6.18,6.502106
10.5,12.612787
18.1,13.988439
17.33,16.693598
20.15,19.887152
19.89,17.734537
3.0,5.341263
19.0,16.947847
13.93,14.722764
17.0,17.250795
15.17,11.461931
9.86,9.919305
18.04,16.747425
16.2,12.905867
17.4,16.91106
13.5,12.977312
12.42,11.681423
16.03,15.072018
21.4,17.84693
13.3,13.840472
1.26,5.0781207
3.6,6.2204084
17.42,17.382421
18.6,14.055296
14.5,12.977312
17.7,15.527369
1.25,1.0409782
14.5,10.617293
11.44,10.583398
12.04,10.208021
3.06,6.7299547
5.0,4.957193
2.91,5.053002
1.6,7.2268686
9.51,10.082638
16.1,13.315552
4.67,18.309738
12.95,13.703564
3.12,5.646157
7.0,9.738591
