Perovskite_composition_long_form,Perovskite_band_gap,formula
Cs0.2FA0.8PbBr0.256I0.744,1.71,
Cs0.2FA0.8PbBr0.6I2.4,1.48,
Cs0.2FA0.8PbBr0.75I2.25,1.67,
Cs0.2FA0.8PbBr0.9I2.1,1.75,
Cs0.2FA0.8PbBr1.05I1.95,1.76,
Cs0.2FA0.8PbBr1.2I1.8,1.82,
Cs0.2FA0.8PbBr1.5I1.5,1.82,
Cs0.2FA0.8PbI3,1.59,
Cs0.2FA0.8SnI3,1.2,
Cs0.2MA0.8Pb0.5Sn0.5I3,1.3,
Cs0.2MA0.8PbI3,1.62,
Cs0.30FA0.70PbI3,1.58,
Cs0.30MA0.70PbI3,1.58,
Cs0.32FA0.58GA0.1PbBr0.81I2.19,1.75,
Cs0.32FA0.58GU0.1PbBr0.81I2.19,1.75,
Cs0.34MA0.66PbI3,1.652,
Cs0.3FA0.2MA0.5PbI3,1.64,
Cs0.3FA0.6MA0.1PbBr0.095I0.905,1.65,
Cs0.3FA0.6MA0.1PbBr0.256I0.744,1.72,
Cs0.3FA0.7Pb0.7Sn0.3I3,1.3,
Cs0.3FA0.7PbBr0.095I0.905,1.63,
Cs0.3FA0.7PbBr0.15I2.85,1.62,
Cs0.3FA0.7PbBr0.256I0.744,1.72,
Cs0.3FA0.7PbBr3,2.287,
Cs0.3FA0.7PbI3,1.523,
Cs0.3MA0.7Pb0.5Sn0.5I3,1.28,
Cs0.40MA0.60PbI3,1.62,
Cs0.45FA0.55PbBr0.15I2.85,1.62,
Cs0.4FA0.2MA0.4PbI3,1.64,
Cs0.4FA0.6PbBr0.095I0.905,1.61,
Cs0.4FA0.6PbBr0.256I0.744,1.65,
Cs0.4FA0.6PbBr0.9I2.1,1.76,
Cs0.4FA0.6PbBr1.05I1.95,1.8,
Cs0.5FA0.4MA0.1PbBr0.51I2.49,1.7,
Cs0.5FA0.5PbBr0.51I2.49,1.62,
Cs0.5FA0.75MA0.1PbBr0.51I2.49,1.63,
Cs0.60MA0.40PbI3,1.68,
Cs0.79FA0.16MA0.1PbBrI2,1.73,
Cs0.80K0.20PbBr3,2.29,
Cs0.80MA0.20PbI3,1.72,
Cs0.84K0.16PbBr3,2.24,
Cs0.85Rb0.15PbBr3,2.24,
Cs0.88FA0.12PbI3,1.51,
Cs0.88K0.12PbBr3,2.25,
Cs0.88Na0.12PbBr3,2.24,
Cs0.88Rb0.12PbBr3,2.24,
Cs0.91Na0.09PbBr3,2.25,
Cs0.91Rb0.09PbBr3,2.31,
Cs0.92K0.08PbBr3,2.27,
Cs0.92Li0.08PbBr3,2.24,
Cs0.94Li0.06PbBr3,2.25,
Cs0.94Na0.06PbBr3,2.27,
Cs0.94Rb0.06PbBr3,2.25,
Cs0.96K0.04PbBr3,2.29,
Cs0.96Li0.04PbBr3,2.27,
Cs0.97Na0.03PbBr3,2.29,
Cs0.97Rb0.03PbBr3,2.27,
Cs0.98Li0.02PbBr3,2.29,
Cs0.99Rb0.01PbBrI2,1.9,
Cs02FA0.8PbBr0.42I2.58,1.59,
Cs2SnI6,1.48,
Cs3Bi2I9,2.2,
Cs3Sb2I9,2.05,
CsBa0.03Pb0.97Br3,2.27,
CsBa0.1Pb0.9BrI2,1.893,
CsBa0.1Pb0.9I3,1.72,
CsBa0.2Pb0.8BrI2,1.865,
CsBa0.3Pb0.7BrI2,1.839,
CsBa0.4Pb0.6BrI2,1.812,
CsBi0.04Pb0.96I3,1.56,
CsCa0.03Pb0.97Br3,2.27,
CsCu0.005Pb0.995Br3,2.27,
CsFAPbBr0.2I2.8,1.53,
CsFAPbBr0.3I2.7,1.56,
CsFAPbBr3I,1.6,
CsFAPbBrClI,1.7,
CsFAPbBrI,1.62,
CsFAPbI3,1.55,
CsGe0.1Pb0.9BrI2,1.895,
CsGe0.2Pb0.8BrI2,1.889,
CsGe0.3Pb0.7BrI2,1.881,
CsLa0.02Pb0.98BrI2,1.919,
CsMg0.03Pb0.97Br3,2.29,
CsNi0.005Pb0.995Br3,2.28,
CsPb0.1Sn0.9I3,1.22,
CsPb0.3Sn0.7I3,1.29,
CsPb0.6Sn0.4I3,1.38,
CsPb0.85I3,1.93,
CsPb0.93I3,1.8,
CsPb0.95I3,1.75,
CsPb0.97Sr0.03Br3,2.27,
CsPb0.98I3,1.71,
CsPb0.995Zn0.005Br3,2.25,
CsPb0.9I3,1.84,
CsPb0.9Sn0.1Br2I,1.79,
CsPb0.9Zn0.1Br2I,1.88,
CsPb1.0BrI2,1.92,
CsPb2Br5,2.58,
CsPbBr0.09I2.91,1.77,
CsPbBr0.15I2.85,1.7,
CsPbBr0.21I2.79,1.81,
CsPbBr0.2I2.8,1.82,
CsPbBr0.31I2.69,1.75,
CsPbBr0.45I2.55,1.84,
CsPbBr2.7I0.3,2.32,
CsPbBr2.8I0.2,2.35,
CsPbBr2.9I0.1,2.38,
CsPbBr2I,2.07,
CsPbBr3,2.3,
CsPbBr3I,1.91,
CsPbBrF0.12I1.88,1.85,
CsPbBrF0.22I1.78,1.85,
CsPbBrF0.28I1.72,1.85,
CsPbBrF1.72I0.28,1.85,
CsPbBrF1.78I0.22,1.85,
CsPbBrF1.88I0.12,1.85,
CsPbBrI,1.75,
CsPbBrI2,1.92,
CsPbI3,1.73,
CsSnBr0.5I2.5,1.375,
CsSnBr0.6I2.4,1.4,
CsSnBr2.5I0.5,2.36,
CsSnBr2I,1.63,
