,feature_importance
mode_heat_of_fusion_(kJ/mol)_,2.901895428764383e-06
mode_l_quantum_number,2.714426261970426e-06
mode_ionic_radius,2.4437591570758435e-06
min_Covalent_Radius,2.0539820768449636e-06
mode_gilmor_number_of_valence_electron,2.0359539354031097e-06
mode_families,1.96750491991485e-06
mode_Number_of_unfilled_p_valence_electrons,1.961146065287575e-06
min_Atomic_Number,1.8264041817830015e-06
mode_Gordy_electonegativity,1.7320052711836711e-06
max_specific_heat_(J/g_K)_,1.6300655375449008e-06
range_Number_of_unfilled_d_valence_electrons,1.504438565981539e-06
mode_number_of_valence_electrons,1.4507791077338777e-06
mode_crystal_radius,1.3702165666006738e-06
max_valence_d,1.3126891730444427e-06
mode_Number_of_unfilled_s_valence_electrons,1.177186881420453e-06
mode_Number_of_unfilled_d_valence_electrons,1.040428495756544e-06
max_valence_f,1.0049782733677937e-06
range_gilmor_number_of_valence_electron,1.0045038789667187e-06
range_valence_p,8.901447545239027e-07
mode_valence_d,7.968336417641246e-07
range_valence_d,6.812218068931921e-07
min_Number_of_unfilled_d_valence_electrons,6.177927923220729e-07
range_valence_f,6.098700438925524e-07
mode_Atomic_Radius,5.62073491362793e-07
max_Boiling_Point_(K),5.404317007063617e-07
mode_outer_shell_electrons,4.50978742695951e-07
range_Metal,3.2712939604399137e-07
mode_Number_of_unfilled_f_valence_electrons,3.2098177987428957e-07
min_Nonmetal,3.135897197992909e-07
max_gilmor_number_of_valence_electron,2.3224777205779374e-07
min_Number_of_unfilled_f_valence_electrons,1.934416318427558e-07
range_Nonmetal,1.394885404205774e-07
max_Number_of_unfilled_d_valence_electrons,1.3942612900748858e-07
range_Number_of_unfilled_f_valence_electrons,1.198965389587717e-07
min_number_of_valence_electrons,1.1534803874285093e-07
max_Metal,1.0116171703091044e-07
min_Number_of_unfilled_p_valence_electrons,7.344687706338505e-08
max_Period,4.296831659319694e-08
min_gilmor_number_of_valence_electron,2.986469428251455e-08
range_Number_of_unfilled_p_valence_electrons,2.06195939503903e-08
mode_Nonmetal,1.0479405153116482e-08
max_families,1.0058374858893314e-08
max_group,5.577414442207735e-09
range_group,3.687375445840896e-09
range_outer_shell_electrons,7.24497594040592e-10
min_group,5.354505353683913e-10
max_valence_p,1.1004779475090729e-10
max_outer_shell_electrons,6.893277826277813e-11
mode_metallic_valence,0.0
avg_Miracle_Radius_[pm],0.0
range_Number_of_unfilled_s_valence_electrons,0.0
range_valence_s,0.0
range_Miracle_Radius_[pm],0.0
mode_valence_f,0.0
max_Nonmetal,0.0
max_Number_of_unfilled_s_valence_electrons,0.0
max_Miracle_Radius_[pm],0.0
dev_Miracle_Radius_[pm],0.0
min_Metalliod,0.0
min_Metal,0.0
max_Number_of_unfilled_p_valence_electrons,0.0
max_Number_of_unfilled_f_valence_electrons,0.0
max_valence_s,0.0
min_Miracle_Radius_[pm],0.0
min_l_quantum_number,0.0
min_metallic_valence,0.0
min_outer_shell_electrons,0.0
min_valence_p,0.0
min_valence_s,0.0
min_Number_of_unfilled_s_valence_electrons,0.0
min_valence_f,0.0
mode_Miracle_Radius_[pm],0.0
mode_Metal,0.0
mode_Metalliod,0.0
